lat,lng
-31.981418,115.817169
-31.9814267,115.8171692
-31.9814351,115.8171698
-31.9814444,115.8171696
-31.9814533,115.8171688
-31.9814616,115.8171697
-31.981465,115.8171634
-31.9814735,115.8171636
-31.9814828,115.8171637
-31.9814927,115.8171647
-31.9815044,115.817165
-31.9815126,115.8171647
-31.9815216,115.8171646
-31.9815307,115.817164
-31.9815397,115.8171641
-31.9815488,115.8171637
-31.9815576,115.8171643
-31.9815664,115.8171641
-31.9815757,115.8171633
-31.9815846,115.8171627
-31.9815937,115.8171632
-31.981603,115.8171645
-31.9816131,115.8171658
-31.9816224,115.8171662
-31.9816314,115.8171665
-31.9816407,115.8171688
-31.9816503,115.8171722
-31.9816597,115.8171739
-31.9816683,115.8171741
-31.9816772,115.8171739
-31.9816863,115.8171733
-31.9816951,115.8171729
-31.9817036,115.8171718
-31.9817126,115.8171716
-31.9817222,115.8171718
-31.9817316,115.817172
-31.9817406,115.8171727
-31.9817502,115.8171735
-31.981759,115.8171732
-31.9817679,115.8171728
-31.981777,115.817174
-31.981786,115.8171752
-31.9817954,115.8171778
-31.9818046,115.8171818
-31.9818134,115.8171852
-31.9818215,115.8171871
-31.9818294,115.8171909
-31.9818368,115.8171921
-31.9818431,115.8171915
-31.9818501,115.8171885
-31.9818572,115.8171826
-31.9818658,115.8171763
-31.9818747,115.8171702
-31.9818834,115.8171658
-31.9818928,115.8171625
-31.9819014,115.8171596
-31.9819081,115.817156
-31.9819148,115.8171527
-31.9819235,115.8171488
-31.9819324,115.8171452
-31.981941,115.8171435
-31.9819481,115.8171422
-31.9819548,115.817141
-31.9819601,115.8171404
-31.9819638,115.8171407
-31.9819642,115.8171402
-31.981964,115.81714
-31.9819607,115.817142
-31.9819567,115.8171429
-31.9819497,115.8171415
-31.9819432,115.8171435
-31.9819383,115.8171428
-31.9819342,115.8171424
-31.981931,115.8171406
-31.9819285,115.8171424
-31.9819239,115.817147
-31.9819186,115.8171516
-31.9819121,115.8171565
-31.981906,115.8171613
-31.9819,115.8171666
-31.9818948,115.8171727
-31.9818879,115.8171799
-31.9818831,115.8171866
-31.9818781,115.8171955
-31.9818751,115.817205
-31.9818737,115.8172147
-31.9818729,115.817223
-31.9818719,115.8172326
-31.9818724,115.817242
-31.9818726,115.8172527
-31.9818727,115.8172625
-31.9818722,115.8172722
-31.9818723,115.817282
-31.9818733,115.8172921
-31.9818751,115.8173023
-31.9818768,115.8173123
-31.9818785,115.8173224
-31.9818785,115.8173333
-31.9818793,115.8173436
-31.9818795,115.8173535
-31.981879,115.8173636
-31.9818785,115.8173756
-31.9818764,115.8173879
-31.9818763,115.8173975
-31.9818774,115.8174072
-31.9818777,115.8174158
-31.9818772,115.8174234
-31.9818769,115.817431
-31.9818776,115.8174375
-31.9818777,115.8174442
-31.981878,115.8174513
-31.9818774,115.8174592
-31.9818779,115.8174687
-31.9818779,115.8174764
-31.9818783,115.8174843
-31.9818779,115.817492
-31.9818786,115.817498
-31.9818782,115.8175051
