lat,lng
-31.9814135,115.8171703
-31.9814223,115.8171708
-31.9814306,115.8171713
-31.9814399,115.8171713
-31.9814488,115.8171706
-31.9814571,115.8171715
-31.9814654,115.8171716
-31.9814738,115.817172
-31.9814837,115.817172
-31.9814934,115.8171732
-31.9815028,115.8171734
-31.9815112,115.8171739
-31.98152,115.8171739
-31.9815294,115.8171746
-31.9815381,115.8171755
-31.9815463,115.8171755
-31.9815547,115.8171752
-31.9815636,115.8171755
-31.9815728,115.8171758
-31.9815818,115.8171751
-31.9815913,115.8171755
-31.9816005,115.8171761
-31.9816105,115.8171777
-31.9816201,115.8171789
-31.9816295,115.8171792
-31.9816381,115.8171806
-31.9816479,115.8171839
-31.9816578,115.8171862
-31.9816668,115.817187
-31.9816756,115.8171873
-31.9816849,115.8171864
-31.9816939,115.8171861
-31.9817027,115.8171854
-31.9817118,115.8171855
-31.9817211,115.8171856
-31.9817305,115.8171854
-31.98174,115.8171863
-31.9817499,115.8171867
-31.9817587,115.8171866
-31.9817673,115.8171867
-31.9817771,115.8171875
-31.9817872,115.8171885
-31.981797,115.8171906
-31.9818065,115.8171938
-31.9818154,115.8171954
-31.9818237,115.8171979
-31.9818315,115.817201
-31.9818391,115.8172017
-31.9818458,115.8172001
-31.9818524,115.8171969
-31.9818597,115.8171916
-31.9818683,115.8171854
-31.9818777,115.8171797
-31.9818873,115.8171754
-31.9818968,115.8171726
-31.9819048,115.8171699
-31.9819112,115.8171666
-31.9819177,115.8171641
-31.981926,115.8171606
-31.981935,115.8171574
-31.9819441,115.8171556
-31.9819516,115.8171549
-31.9819583,115.8171538
-31.9819638,115.8171527
-31.9819664,115.8171519
-31.9819668,115.8171505
-31.9819675,115.8171497
-31.9819654,115.8171518
-31.9819612,115.8171511
-31.9819556,115.8171511
-31.9819492,115.8171519
-31.9819447,115.8171509
-31.9819399,115.8171506
-31.9819366,115.8171499
-31.9819347,115.8171514
-31.9819297,115.8171557
-31.9819242,115.8171602
-31.9819175,115.8171653
-31.9819112,115.8171704
-31.9819057,115.8171749
-31.9819004,115.8171806
-31.9818945,115.8171873
-31.9818897,115.8171944
-31.9818854,115.817203
-31.9818822,115.8172126
-31.9818809,115.8172217
-31.9818803,115.8172304
-31.981879,115.81724
-31.9818789,115.81725
-31.9818791,115.8172608
-31.9818795,115.8172703
-31.9818784,115.8172796
-31.9818786,115.8172887
-31.9818795,115.8172987
-31.9818809,115.8173091
-31.9818825,115.8173195
-31.9818835,115.8173297
-31.9818844,115.8173406
-31.9818853,115.8173509
-31.9818849,115.8173608
-31.9818844,115.8173704
-31.9818835,115.8173828
-31.9818821,115.8173952
-31.9818814,115.817406
-31.9818821,115.8174153
-31.9818827,115.8174246
-31.9818825,115.8174322
-31.9818818,115.8174388
-31.981882,115.8174453
-31.9818822,115.8174526
-31.9818819,115.81746
-31.9818807,115.8174676
-31.9818801,115.8174769
-31.9818813,115.8174836
-31.9818816,115.8174916
-31.9818803,115.8174982
-31.9818803,115.8175046
-31.9818809,115.8175128
-31.9818805,115.8175193
-31.9818794,115.8175263
-31.9818791,115.8175347
-31.9818784,115.8175432
-31.9818771,115.8175511
-31.9818785,115.8175578
-31.9818792,115.8175663
-31.9818778,115.8175733
-31.9818768,115.8175803
-31.9818776,115.8175886
-31.9818773,115.8175969
-31.9818763,115.8176056
-31.9818779,115.8176143
-31.9818784,115.8176228
-31.9818777,115.8176309
-31.9818781,115.8176403
-31.9818793,115.8176492
-31.9818792,115.8176575
-31.9818782,115.8176655
-31.9818789,115.8176736
-31.9818792,115.8176818
-31.9818791,115.8176905
-31.9818793,115.8176989
-31.98188,115.8177085
-31.9818799,115.8177185
-31.9818793,115.8177287
-31.9818783,115.8177377
-31.9818794,115.8177466
-31.9818796,115.8177557
-31.9818788,115.8177643
-31.9818789,115.8177736
-31.9818796,115.8177835
-31.9818783,115.8177931
-31.9818774,115.8178024
-31.9818781,115.8178121
-31.9818782,115.8178218
