lat,lng
-31.9761059,115.8147291
-31.976106,115.814729
-31.9761062,115.8147289
-31.9761064,115.8147288
-31.9761066,115.8147286
-31.9761068,115.8147283
-31.9761071,115.8147281
-31.9761074,115.8147278
-31.9761077,115.8147275
-31.9761081,115.8147271
-31.9761083,115.814727
-31.9761086,115.8147267
-31.9761089,115.8147263
-31.9761091,115.8147261
-31.9761093,115.8147259
-31.9761095,115.8147257
-31.9761097,115.8147255
-31.97611,115.8147252
-31.9761103,115.8147251
-31.9761106,115.8147249
-31.9761107,115.8147246
-31.9761108,115.8147245
-31.9761108,115.8147243
-31.9761109,115.814724
-31.976111,115.8147237
-31.976111,115.8147234
-31.9761109,115.8147232
-31.9761109,115.8147229
-31.976111,115.8147227
-31.9761109,115.8147225
-31.9761109,115.8147225
-31.976111,115.8147223
-31.976111,115.8147222
-31.9761109,115.8147219
-31.9761108,115.8147217
-31.9761105,115.8147215
-31.9761103,115.8147215
-31.97611,115.8147216
-31.9761097,115.8147216
-31.9761095,115.8147215
-31.9761093,115.8147214
-31.9761091,115.8147213
-31.9761088,115.8147213
-31.9761085,115.8147212
-31.9761082,115.8147214
-31.9761079,115.8147216
-31.9761075,115.8147216
-31.976107,115.8147219
-31.9761067,115.8147216
-31.9761064,115.8147221
-31.9761062,115.814722
-31.9761061,115.8147218
-31.9761061,115.8147215
-31.9761063,115.8147212
-31.9761064,115.8147208
-31.9761067,115.8147206
-31.9761068,115.8147204
-31.976107,115.8147201
-31.9761072,115.8147199
-31.9761074,115.8147198
-31.9761077,115.8147195
-31.9761079,115.8147193
-31.9761082,115.8147191
-31.9761086,115.8147188
-31.9761089,115.8147186
-31.9761092,115.8147185
-31.9761094,115.8147184
-31.9761095,115.8147183
-31.9761096,115.8147183
-31.9761096,115.8147182
-31.9761096,115.8147183
-31.9761097,115.8147182
-31.9761098,115.8147182
-31.9761098,115.8147182
-31.9761097,115.8147182
-31.9761096,115.8147182
-31.9761095,115.8147183
-31.9761093,115.8147183
-31.9761091,115.8147184
-31.9761088,115.8147187
-31.9761085,115.8147189
-31.9761083,115.814719
-31.9761081,115.8147192
-31.9761079,115.8147194
-31.9761077,115.8147195
-31.9761074,115.8147196
-31.9761072,115.8147198
-31.9761069,115.8147201
-31.9761066,115.8147203
-31.9761064,115.8147206
-31.9761061,115.8147208
-31.9761059,115.814721
-31.9761057,115.8147212
-31.9761055,115.8147213
-31.9761053,115.8147214
-31.9761052,115.8147214
-31.976105,115.8147215
-31.9761048,115.8147217
-31.9761046,115.814722
-31.9761043,115.8147222
-31.9761041,115.8147224
-31.9761039,115.8147226
-31.9761037,115.814723
-31.9761037,115.8147231
-31.9761036,115.8147233
-31.9761036,115.8147234
-31.9761035,115.8147237
-31.9761034,115.814724
-31.9761033,115.8147243
-31.9761032,115.8147245
-31.976103,115.8147249
-31.9761028,115.8147254
-31.9761026,115.8147257
-31.9761024,115.8147262
-31.9761022,115.8147266
-31.9761021,115.814727
-31.9761021,115.8147274
-31.9761021,115.8147278
-31.9761021,115.814728
-31.9761021,115.8147282
-31.9761021,115.8147283
-31.9761022,115.8147284
-31.9761021,115.8147285
-31.976102,115.8147286
-31.976102,115.8147287
-31.9761019,115.8147287
-31.9761018,115.8147288
-31.9761018,115.8147288
-31.9761017,115.8147288
-31.9761017,115.8147289
-31.9761017,115.814729
-31.9761016,115.8147291
-31.9761015,115.8147293
-31.9761013,115.8147294
-31.9761012,115.8147294
-31.976101,115.8147294
-31.9761007,115.8147295
-31.9761005,115.8147296
-31.9761003,115.8147298
-31.9761001,115.8147298
-31.9760999,115.8147298
-31.9760997,115.8147298
-31.9760996,115.8147298
-31.9760994,115.8147298
-31.9760993,115.8147298
-31.9760991,115.8147298
-31.9760987,115.81473
-31.9760985,115.8147301
-31.9760982,115.8147303
-31.9760979,115.8147304
-31.9760977,115.8147305
-31.9760975,115.8147306
-31.9760972,115.8147307
-31.976097,115.8147311
-31.9760967,115.8147313
-31.9760965,115.8147315
-31.9760962,115.8147317
-31.976096,115.8147318
-31.9760958,115.8147319
-31.9760955,115.814732
-31.9760954,115.8147321
-31.9760952,115.8147322
-31.976095,115.8147322
-31.9760948,115.8147321
-31.9760948,115.8147321
-31.9760947,115.8147322
-31.9760946,115.8147323
-31.9760946,115.8147323
-31.9760946,115.8147323
-31.9760946,115.8147324
-31.9760945,115.8147326
-31.9760944,115.8147327
-31.9760943,115.8147329
-31.9760942,115.8147331
-31.9760941,115.8147333
-31.9760942,115.8147333
-31.9760943,115.8147332
-31.9760944,115.8147333
-31.9760945,115.8147333
-31.9760946,115.8147333
-31.9760947,115.8147334
-31.9760947,115.8147334
-31.9760947,115.8147335
-31.9760946,115.8147336
-31.9760946,115.8147337
-31.9760946,115.8147337
-31.9760946,115.8147338
-31.9760945,115.8147339
-31.9760945,115.814734
-31.9760944,115.8147341
-31.9760945,115.8147341
-31.9760945,115.8147341
-31.9760945,115.8147343
-31.9760944,115.8147346
-31.9760943,115.8147349
-31.9760942,115.8147352
-31.9760941,115.8147355
-31.9760939,115.8147358
-31.9760939,115.814736
-31.9760939,115.8147361
-31.9760939,115.8147363
-31.9760939,115.8147366
-31.9760939,115.8147368
-31.9760939,115.8147371
-31.9760939,115.8147374
-31.9760939,115.8147377
-31.9760938,115.814738
-31.9760938,115.8147383
-31.9760939,115.8147385
-31.9760938,115.8147387
-31.9760937,115.814739
-31.9760937,115.8147392
-31.9760937,115.8147395
-31.9760937,115.8147396
-31.9760938,115.8147397
-31.9760938,115.8147399
-31.9760938,115.8147401
-31.9760937,115.8147403
-31.9760936,115.8147405
-31.9760934,115.8147408
-31.9760932,115.8147411
-31.976093,115.8147414
-31.9760928,115.8147415
-31.9760927,115.8147416
-31.9760927,115.8147417
-31.9760927,115.8147418
-31.9760926,115.814742
-31.9760926,115.8147422
-31.9760925,115.8147425
-31.9760925,115.8147428
-31.9760924,115.8147431
-31.9760923,115.8147434
-31.9760922,115.8147437
-31.9760922,115.8147439
-31.9760921,115.814744
-31.9760921,115.8147441
-31.9760921,115.8147442
-31.9760921,115.8147442
-31.9760921,115.8147443
-31.9760921,115.8147444
-31.9760921,115.8147445
-31.9760921,115.8147445
-31.976092,115.8147446
-31.976092,115.8147447
-31.976092,115.8147446
-31.976092,115.8147446
-31.976092,115.8147446
-31.9760921,115.8147447
-31.9760922,115.8147446
-31.9760923,115.8147446
-31.9760924,115.8147444
-31.9760924,115.8147444
-31.9760924,115.8147444
-31.9760923,115.8147446
-31.9760923,115.8147447
-31.9760922,115.8147449
-31.9760921,115.8147451
-31.976092,115.8147452
-31.9760919,115.8147455
-31.9760918,115.8147457
-31.9760917,115.8147458
-31.9760917,115.8147459
-31.9760916,115.8147461
-31.9760915,115.8147462
-31.9760914,115.8147463
-31.9760913,115.8147465
-31.9760911,115.8147468
-31.976091,115.814747
-31.9760908,115.8147473
-31.9760906,115.8147476
-31.9760905,115.8147478
-31.9760905,115.814748
-31.9760904,115.8147481
-31.9760903,115.8147482
-31.9760902,115.8147484
-31.9760901,115.8147485
-31.97609,115.8147486
-31.9760899,115.8147487
-31.9760897,115.8147488
-31.9760896,115.8147488
-31.9760896,115.8147488
-31.9760896,115.8147488
-31.9760895,115.8147488
-31.9760895,115.8147487
-31.9760894,115.8147487
-31.9760894,115.8147489
-31.9760894,115.814749
-31.9760893,115.8147491
-31.9760893,115.8147492
-31.9760893,115.8147493
-31.9760893,115.8147494
-31.9760892,115.8147495
-31.9760892,115.8147497
-31.9760892,115.8147498
-31.9760892,115.81475
-31.9760893,115.8147502
-31.9760893,115.8147503
-31.9760893,115.8147505
-31.9760894,115.8147506
-31.9760894,115.8147508
-31.9760895,115.8147511
-31.9760896,115.8147513
-31.9760897,115.8147516
-31.9760897,115.8147519
-31.9760897,115.8147522
-31.9760898,115.8147525
-31.9760898,115.8147526
-31.9760899,115.8147529
-31.9760901,115.814753
-31.9760902,115.8147529
-31.9760905,115.8147529
-31.9760908,115.8147529
-31.976091,115.814753
-31.9760912,115.8147531
-31.9760914,115.8147532
-31.9760917,115.8147532
-31.9760919,115.8147533
-31.9760921,115.8147534
