,lat,lng
0,-31.9814267,115.8171692
1,-31.9814267,115.8171692
2,-31.9814267,115.8171692
3,-31.9814267,115.8171692
4,-31.9814267,115.8171692
5,-31.9814267,115.8171692
6,-31.9814267,115.8171692
7,-31.9814267,115.8171692
8,-31.9814267,115.8171692
9,-31.9814267,115.8171692
10,-31.9814267,115.8171692
11,-31.9814267,115.8171692
12,-31.9814267,115.8171692
13,-31.9814267,115.8171692
14,-31.9814267,115.8171692
15,-31.9814267,115.8171692
16,-31.9814267,115.8171692
17,-31.9814267,115.8171692
18,-31.9814267,115.8171692
19,-31.9814267,115.8171692
20,-31.9814267,115.8171692
21,-31.9814267,115.8171692
22,-31.9814267,115.8171692
23,-31.9814267,115.8171692
24,-31.9814267,115.8171692
25,-31.9814267,115.8171692
26,-31.9814267,115.8171692
27,-31.9814267,115.8171692
28,-31.9814267,115.8171692
29,-31.9814267,115.8171692
30,-31.9814267,115.8171692
31,-31.9814267,115.8171692
32,-31.9814267,115.8171692
33,-31.9814267,115.8171692
34,-31.9814267,115.8171692
35,-31.9814267,115.8171692
36,-31.9814267,115.8171692
37,-31.9814267,115.8171692
38,-31.9814267,115.8171692
39,-31.9814267,115.8171692
40,-31.9814267,115.8171692
41,-31.9814267,115.8171692
42,-31.9814267,115.8171692
43,-31.9814267,115.8171692
44,-31.9814267,115.8171692
45,-31.9814267,115.8171692
46,-31.9814267,115.8171692
47,-31.9814267,115.8171692
48,-31.9814267,115.8171692
49,-31.9814267,115.8171692
50,-31.9814267,115.8171692
51,-31.9814267,115.8171692
52,-31.9814267,115.8171692
53,-31.9814267,115.8171692
54,-31.9814267,115.8171692
55,-31.9814267,115.8171692
56,-31.9814267,115.8171692
57,-31.9814267,115.8171692
58,-31.9814267,115.8171692
59,-31.9814267,115.8171692
60,-31.9814267,115.8171692
61,-31.9814267,115.8171692
62,-31.9814267,115.8171692
63,-31.9818763,115.8176217
64,-31.9818768,115.8176318
65,-31.9818768,115.8176318
66,-31.9818766,115.8176496
67,-31.9818774,115.8176647
68,-31.9818772,115.817673
69,-31.9818771,115.8176818
70,-31.9818782,115.8176905
71,-31.9818781,115.8176998
72,-31.9818763,115.817709
73,-31.9818763,115.8177193
74,-31.9818763,115.8177193
75,-31.9818756,115.817729
76,-31.9818764,115.8177374
77,-31.9818758,115.8177553
78,-31.9818758,115.8177553
79,-31.9818767,115.817765
80,-31.9818767,115.817765
81,-31.9818767,115.817765
82,-31.9818756,115.8177844
83,-31.9818757,115.8177939
84,-31.9818762,115.8178037
85,-31.9818762,115.8178037
86,-31.9818753,115.8178133
87,-31.9818759,115.8178228
88,-31.9818759,115.8178228
89,-31.9818756,115.8178402
90,-31.9818751,115.8178491
91,-31.9818751,115.8178491
92,-31.9818749,115.8178595
93,-31.9818748,115.8178794
94,-31.9818748,115.8178794
95,-31.9818742,115.817889
96,-31.9818743,115.8178983
97,-31.9818749,115.8179167
98,-31.9818749,115.8179167
99,-31.9818767,115.8179259
100,-31.9818767,115.8179259
101,-31.9818811,115.8179441
102,-31.981884,115.8179514
103,-31.981884,115.8179514
104,-31.981884,115.8179514
105,-31.981884,115.8179514
106,-31.981884,115.8179514
107,-31.981884,115.8179514
108,-31.981884,115.8179514
109,-31.981884,115.8179514
110,-31.981884,115.8179514
111,-31.981884,115.8179514
112,-31.981884,115.8179514
113,-31.981884,115.8179514
114,-31.981884,115.8179514
115,-31.981884,115.8179514
116,-31.981884,115.8179514
117,-31.981884,115.8179514
118,-31.981884,115.8179514
119,-31.981884,115.8179514
120,-31.981884,115.8179514
121,-31.981884,115.8179514
122,-31.981884,115.8179514
123,-31.981884,115.8179514
124,-31.981884,115.8179514
125,-31.981884,115.8179514
126,-31.981884,115.8179514
127,-31.981884,115.8179514
128,-31.981884,115.8179514
129,-31.981884,115.8179514
130,-31.981884,115.8179514
131,-31.981884,115.8179514
132,-31.981884,115.8179514
133,-31.981884,115.8179514
134,-31.981884,115.8179514
135,-31.981884,115.8179514
136,-31.981884,115.8179514
137,-31.981884,115.8179514
138,-31.981884,115.8179514
139,-31.981884,115.8179514
140,-31.981884,115.8179514
141,-31.981884,115.8179514
142,-31.981884,115.8179514
143,-31.981884,115.8179514
144,-31.981884,115.8179514
145,-31.981884,115.8179514
146,-31.981884,115.8179514
147,-31.981884,115.8179514
148,-31.981884,115.8179514
149,-31.981884,115.8179514
150,-31.981884,115.8179514
151,-31.981884,115.8179514
152,-31.981884,115.8179514
153,-31.981884,115.8179514
154,-31.981884,115.8179514
155,-31.981884,115.8179514
156,-31.981884,115.8179514
157,-31.981884,115.8179514
158,-31.981884,115.8179514
159,-31.981884,115.8179514
160,-31.981884,115.8179514
161,-31.981884,115.8179514
162,-31.981884,115.8179514
163,-31.981884,115.8179514
164,-31.981884,115.8179514
165,-31.981884,115.8179514
166,-31.981884,115.8179514
167,-31.981884,115.8179514
168,-31.981884,115.8179514
169,-31.981884,115.8179514
170,-31.981884,115.8179514
171,-31.981884,115.8179514
172,-31.981884,115.8179514
173,-31.981884,115.8179514
174,-31.981884,115.8179514
175,-31.981884,115.8179514
176,-31.981884,115.8179514
177,-31.981884,115.8179514
178,-31.981884,115.8179514
179,-31.981884,115.8179514
180,-31.981884,115.8179514
181,-31.981884,115.8179514
182,-31.981884,115.8179514
183,-31.981884,115.8179514
184,-31.981884,115.8179514
185,-31.981884,115.8179514
186,-31.981884,115.8179514
187,-31.981884,115.8179514
188,-31.981884,115.8179514
189,-31.981884,115.8179514
190,-31.981884,115.8179514
191,-31.981884,115.8179514
192,-31.981884,115.8179514
193,-31.981884,115.8179514
194,-31.981884,115.8179514
195,-31.981884,115.8179514
196,-31.981884,115.8179514
197,-31.981884,115.8179514
