lat,lng
-31.9754246,115.8153136
-31.9754247,115.8153136
-31.9754247,115.8153136
-31.9754247,115.8153135
-31.9754248,115.8153134
-31.9754247,115.8153134
-31.9754249,115.8153134
-31.9754249,115.8153134
-31.9754249,115.8153132
-31.9754249,115.8153131
-31.975425,115.8153129
-31.9754251,115.8153128
-31.9754251,115.8153126
-31.9754252,115.8153125
-31.9754252,115.8153124
-31.9754253,115.8153123
-31.9754253,115.8153121
-31.9754255,115.8153121
-31.9754255,115.815312
-31.9754256,115.8153118
-31.9754258,115.8153115
-31.9754259,115.8153112
-31.9754259,115.815311
-31.9754259,115.815311
-31.975426,115.8153109
-31.9754261,115.8153108
-31.9754262,115.8153106
-31.9754262,115.8153107
-31.9754261,115.8153107
-31.9754261,115.8153107
-31.9754261,115.8153107
-31.9754261,115.8153107
-31.9754261,115.8153106
-31.9754261,115.8153105
-31.9754261,115.8153106
-31.9754262,115.8153106
-31.9754262,115.8153107
-31.9754262,115.8153107
-31.9754261,115.8153106
-31.9754262,115.8153106
-31.9754263,115.8153106
-31.9754262,115.8153106
-31.9754262,115.8153107
-31.9754262,115.8153107
-31.9754262,115.8153107
-31.9754268,115.8153098
-31.9754278,115.8153084
-31.9754282,115.8153079
-31.9754283,115.8153077
-31.9754284,115.8153076
-31.9754284,115.8153077
-31.9754283,115.8153078
-31.9754282,115.8153078
-31.9754281,115.8153078
-31.975428,115.8153078
-31.9754279,115.8153078
-31.9754279,115.8153078
-31.9754279,115.8153078
-31.9754279,115.8153078
-31.9754278,115.8153078
-31.9754278,115.8153078
-31.9754277,115.8153078
-31.9754277,115.8153078
-31.9754278,115.8153078
-31.9754278,115.8153078
-31.9754278,115.8153079
-31.9754278,115.8153079
-31.9754279,115.8153078
-31.9754279,115.8153078
-31.9754279,115.8153077
-31.9754279,115.8153077
-31.9754279,115.8153077
-31.9754278,115.8153077
-31.9754277,115.8153077
-31.9754274,115.8153077
-31.9754273,115.8153076
-31.9754272,115.8153075
-31.9754271,115.8153074
-31.975427,115.8153073
-31.9754269,115.8153072
-31.9754268,115.8153072
-31.9754267,115.8153071
-31.9754267,115.8153071
-31.9754267,115.8153072
-31.975427,115.8153071
-31.9754269,115.8153071
-31.9754284,115.8153058
-31.9754301,115.8153047
-31.9754308,115.8153044
-31.9754308,115.8153026
-31.9754299,115.8153026
-31.9754303,115.8153032
-31.9754297,115.8153045
-31.9754294,115.8153071
-31.9754297,115.8153079
-31.9754305,115.8153084
-31.9754307,115.8153085
-31.9754311,115.8153092
-31.9754311,115.8153097
-31.9754309,115.8153105
-31.9754308,115.8153109
-31.9754308,115.8153113
-31.9754307,115.8153116
-31.9754306,115.8153119
-31.9754306,115.8153123
-31.9754306,115.8153125
-31.9754305,115.8153128
-31.9754305,115.8153129
-31.9754304,115.8153129
-31.9754303,115.815313
-31.9754302,115.8153131
-31.9754301,115.8153132
-31.9754299,115.8153133
-31.9754298,115.8153133
-31.9754298,115.8153133
-31.9754297,115.8153134
-31.9754296,115.8153134
-31.9754295,115.8153133
-31.9754294,115.8153134
-31.9754293,115.8153134
-31.9754292,115.8153133
-31.9754292,115.8153132
-31.9754291,115.8153131
-31.9754291,115.8153131
-31.9754291,115.815313
-31.975429,115.8153129
-31.975429,115.8153127
-31.9754289,115.8153127
-31.975429,115.8153126
-31.975429,115.8153125
-31.975429,115.8153123
-31.975429,115.8153122
-31.975429,115.8153122
-31.9754292,115.8153118
-31.9754292,115.8153117
-31.9754282,115.8153102
-31.975424,115.8153084
-31.9754226,115.815306
-31.9754228,115.8153053
-31.9754231,115.8153048
-31.9754239,115.8153041
-31.9754242,115.8153034
-31.975423,115.8153023
-31.9754199,115.8153017
-31.9754178,115.8153015
-31.9754173,115.8153013
-31.9754171,115.8153013
-31.975417,115.8153014
-31.9754168,115.8153012
-31.9754168,115.8153007
-31.9754166,115.8153007
-31.9754165,115.8153008
-31.9754162,115.8153008
-31.975416,115.8153008
-31.9754157,115.8153009
-31.9754155,115.815301
-31.9754154,115.8153011
-31.9754153,115.8153011
-31.9754152,115.8153012
-31.9754151,115.8153013
-31.9754149,115.8153014
-31.9754147,115.8153014
-31.9754146,115.8153015
-31.9754145,115.8153015
-31.9754145,115.8153015
-31.9754144,115.8153015
-31.9754142,115.8153016
-31.9754142,115.8153016
-31.9754141,115.8153016
-31.9754141,115.8153016
-31.975414,115.8153016
-31.975414,115.8153017
-31.9754139,115.8153017
-31.9754139,115.8153018
-31.9754139,115.8153019
-31.9754139,115.8153019
-31.9754122,115.8153017
-31.9754115,115.8153017
-31.9754114,115.8153017
-31.9754115,115.8153018
-31.9754116,115.8153018
-31.9754117,115.8153019
-31.9754117,115.8153019
-31.9754118,115.8153018
-31.9754118,115.8153018
-31.9754119,115.8153019
-31.9754119,115.8153019
-31.9754119,115.8153019
-31.9754119,115.8153019
-31.975412,115.8153019
-31.9754121,115.815302
-31.9754121,115.8153021
-31.9754122,115.8153022
-31.9754123,115.8153023
-31.9754119,115.8153026
-31.9754119,115.8153027
-31.9754148,115.8153042
-31.9754167,115.8153051
-31.9754165,115.8153054
-31.9754165,115.8153053
-31.9754166,115.8153047
-31.9754168,115.8153045
-31.9754168,115.8153044
-31.9754167,115.8153044
