lat,lng
-31.9761,115.814764
-31.9760999,115.8147644
-31.9760999,115.8147647
-31.9760998,115.8147651
-31.9760998,115.8147655
-31.9760997,115.8147658
-31.9760997,115.8147661
-31.9760996,115.8147662
-31.9760995,115.8147665
-31.9760993,115.8147668
-31.9760993,115.8147672
-31.9760992,115.8147674
-31.9760991,115.8147676
-31.976099,115.8147679
-31.9760989,115.8147681
-31.9760988,115.8147683
-31.9760987,115.8147684
-31.9760985,115.8147685
-31.9760984,115.8147686
-31.9760982,115.8147687
-31.9760982,115.8147687
-31.976098,115.8147687
-31.9760979,115.8147687
-31.9760979,115.8147687
-31.9760978,115.8147686
-31.9760978,115.8147685
-31.9760977,115.8147684
-31.9760976,115.8147683
-31.9760974,115.8147683
-31.9760974,115.8147682
-31.9760974,115.8147681
-31.9760972,115.8147681
-31.9760972,115.8147683
-31.9760972,115.8147684
-31.9760971,115.8147686
-31.976097,115.8147688
-31.976097,115.8147689
-31.976097,115.8147689
-31.976097,115.8147688
-31.9760969,115.8147688
-31.9760969,115.8147688
-31.976097,115.8147687
-31.9760969,115.8147688
-31.9760967,115.8147687
-31.9760966,115.8147686
-31.9760965,115.8147686
-31.9760966,115.8147683
-31.9760966,115.8147682
-31.9760965,115.8147681
-31.9760966,115.814768
-31.9760966,115.8147679
-31.9760966,115.8147678
-31.9760967,115.8147676
-31.9760968,115.8147674
-31.9760968,115.8147671
-31.976097,115.8147668
-31.9760971,115.8147666
-31.9760972,115.8147664
-31.9760972,115.8147664
-31.9760973,115.8147664
-31.9760972,115.8147663
-31.9760972,115.8147663
-31.9760972,115.8147663
-31.9760972,115.8147664
-31.9760973,115.8147664
-31.9760972,115.8147665
-31.9760972,115.8147666
-31.9760972,115.8147667
-31.9760971,115.8147668
-31.976097,115.814767
-31.9760968,115.8147674
-31.9760968,115.8147674
-31.9760968,115.8147675
-31.9760967,115.8147676
-31.9760966,115.8147678
-31.9760964,115.814768
-31.9760964,115.8147681
-31.9760964,115.8147683
-31.9760963,115.8147684
-31.9760962,115.8147685
-31.9760961,115.8147686
-31.976096,115.8147688
-31.9760958,115.814769
-31.9760957,115.8147689
-31.9760957,115.8147689
-31.9760953,115.8147689
-31.9760951,115.814769
-31.976095,115.8147691
-31.9760951,115.8147691
-31.976095,115.8147694
-31.976095,115.8147695
-31.976095,115.8147696
-31.976095,115.8147697
-31.9760951,115.8147696
-31.9760952,115.8147696
-31.9760952,115.8147695
-31.9760952,115.8147693
-31.9760953,115.8147693
-31.9760955,115.8147693
-31.9760956,115.8147694
-31.9760958,115.8147695
-31.9760959,115.8147695
-31.976096,115.8147698
-31.976096,115.81477
-31.9760961,115.8147702
-31.9760961,115.8147704
-31.9760961,115.8147707
-31.9760961,115.814771
-31.9760961,115.8147712
-31.9760961,115.8147715
-31.9760961,115.8147716
-31.976096,115.8147718
-31.976096,115.814772
-31.9760962,115.8147721
-31.9760961,115.8147723
-31.9760962,115.8147723
-31.9760963,115.8147723
-31.9760963,115.8147722
-31.9760963,115.8147723
-31.9760963,115.8147723
-31.9760963,115.8147722
-31.9760963,115.814772
-31.9760963,115.8147719
-31.9760964,115.8147719
-31.9760963,115.8147716
-31.9760964,115.8147714
-31.9760963,115.8147713
-31.9760962,115.8147714
-31.9760961,115.8147715
-31.976096,115.8147715
-31.9760958,115.8147716
-31.9760957,115.8147718
-31.9760956,115.8147718
-31.9760954,115.8147722
-31.9760952,115.8147725
-31.976095,115.8147729
-31.9760948,115.8147732
-31.9760944,115.8147737
-31.9760941,115.814774
-31.9760939,115.8147742
-31.9760936,115.8147746
-31.9760934,115.814775
-31.9760931,115.8147755
-31.9760929,115.8147757
-31.9760928,115.8147758
-31.9760927,115.8147759
-31.9760925,115.814776
-31.9760924,115.8147761
-31.9760922,115.8147763
-31.976092,115.8147764
