,lat,lng
0,-31.98243065843294,115.81686567624689
1,-31.98243061481414,115.81686566987361
2,-31.982430571693435,115.81686567945957
3,-31.98243052521052,115.81686568848627
4,-31.982430476320115,115.81686566800582
5,-31.982430429871812,115.81686564440348
6,-31.982430381209696,115.81686563719131
7,-31.982430334048814,115.81686562846481
8,-31.982430286818758,115.81686561355265
9,-31.982430239727055,115.81686561101182
10,-31.98243019488373,115.81686563089552
11,-31.982430138293424,115.81686564353315
12,-31.9824300762724,115.81686563498097
13,-31.98243002281602,115.81686563490956
14,-31.982429968598638,115.81686563823965
15,-31.982429913371213,115.81686563699164
16,-31.982429860613554,115.81686564938475
17,-31.982429805704356,115.816865662302
18,-31.982429761961008,115.81686568766081
19,-31.982429733153886,115.81686574108264
20,-31.982429707536006,115.81686581532146
21,-31.98242968346778,115.8168658995203
22,-31.982429663322133,115.81686598437159
23,-31.9824296461582,115.81686607148288
24,-31.982429627043356,115.8168661556236
25,-31.982429610481304,115.81686623225075
26,-31.98242959021806,115.81686629944203
27,-31.982429573227094,115.81686636629559
28,-31.982429560518444,115.81686643738954
29,-31.982429552451855,115.81686651631178
30,-31.98242954449596,115.81686659084234
31,-31.982429535419328,115.81686666518647
32,-31.982429528964666,115.81686673820269
33,-31.9824295262112,115.81686682065477
34,-31.98242952823124,115.81686690125477
35,-31.9824295335028,115.81686698680572
36,-31.98242953960453,115.81686707514083
37,-31.98242954581696,115.81686715908424
38,-31.982429552319946,115.81686724042991
39,-31.982429565817164,115.81686732558504
40,-31.98242957911375,115.81686741423488
41,-31.982429594382005,115.8168675005666
42,-31.982429609920068,115.81686758958926
43,-31.982429622656287,115.8168676781459
44,-31.98242963212023,115.81686776704025
45,-31.982429640214388,115.81686784776858
46,-31.98242965391223,115.81686792942898
47,-31.982429666178017,115.81686801878938
48,-31.98242967245962,115.81686810891844
49,-31.982429677530554,115.81686819796413
50,-31.982429684753022,115.81686828648564
51,-31.982429702712427,115.8168683776751
52,-31.982429718160553,115.81686846580081
53,-31.98242972381261,115.816868549651
54,-31.982429733587875,115.81686863065894
55,-31.982429750246673,115.81686871986804
56,-31.9824297628722,115.81686881281637
57,-31.98242977798134,115.81686889206544
58,-31.982429793339534,115.81686897929416
59,-31.982429809168156,115.81686906571909
60,-31.982429813789413,115.81686915027986
61,-31.982429817760366,115.81686923385043
62,-31.982429830316715,115.8168693206131
63,-31.982429842942242,115.81686941356142
64,-31.982429855028155,115.81686950112785
65,-31.98242987121652,115.81686959114072
66,-31.98242987276613,115.8168696725445
67,-31.98242986059709,115.81686974902033
68,-31.98242986427748,115.81686983518864
69,-31.982429878514935,115.81686992223094
70,-31.982429890801477,115.81687000630265
71,-31.982429908691707,115.81687009130646
72,-31.98242992539202,115.81687016993818
73,-31.982429946485343,115.81687024841861
74,-31.982429975264715,115.8168703211213
75,-31.982429998329707,115.81687039728361
76,-31.982430019374615,115.81687046428968
77,-31.982430039838395,115.81687053649122
78,-31.982430042238935,115.81687061539048
79,-31.982430027219635,115.81687067992593
80,-31.982430001484158,115.81687073650475
81,-31.982429976198357,115.81687079756848
82,-31.98242994820065,115.81687085906316
83,-31.982429917802357,115.81687091310235
84,-31.98242989560896,115.81687097203438
85,-31.982429881399074,115.81687104464267
86,-31.98242985938555,115.81687110536866
87,-31.982429832930592,115.81687115477163
88,-31.98242981297867,115.81687121407651
89,-31.98242980116937,115.81687129414027
90,-31.982429794562503,115.81687138212554
91,-31.98242979245934,115.8168714655678
92,-31.982429789436065,115.81687154532894
93,-31.98242978697316,115.81687162518327
94,-31.98242978170841,115.81687170457157
95,-31.98242978733971,115.81687179371045
96,-31.98242980401927,115.81687187763086
97,-31.982429813773773,115.81687196392748
98,-31.982429817073665,115.81687205179654
99,-31.98242982397791,115.81687212615279
100,-31.98242984092727,115.81687221276414
101,-31.982429854984854,115.81687229801247
102,-31.98242986296832,115.81687238313248
103,-31.982429873663694,115.81687246782155
104,-31.982429889561498,115.81687256043216
105,-31.982429903778193,115.81687265276312
106,-31.98242991492324,115.8168727419371
107,-31.982429925729306,115.81687282223449
108,-31.982429939517086,115.81687290479188
109,-31.982429953353282,115.8168729988236
110,-31.98242996808193,115.81687307977343
111,-31.982429987653262,115.81687316505688
112,-31.982430006684982,115.81687324495842
113,-31.98243001643949,115.81687333125504
114,-31.982430034059913,115.8168734135679
115,-31.982430060895275,115.81687350535172
116,-31.982430086430032,115.81687359515516
117,-31.982430107281214,115.81687368770766
118,-31.982430132566925,115.81687376953148
119,-31.982430163096577,115.81687384869946
120,-31.98243020006009,115.81687393158367
121,-31.982430236241846,115.81687402315808
122,-31.9824302716557,115.81687409608229
123,-31.98243030314698,115.81687416835405
124,-31.982430327263533,115.81687423851712
125,-31.98243035310961,115.81687432043414
126,-31.982430384642402,115.81687438212853
127,-31.982430423598338,115.81687445740596
128,-31.982430450765783,115.8168745360147
