lat,lng
-31.9761068,115.814784
-31.9761068,115.814784
-31.9761069,115.8147839
-31.976107,115.8147839
-31.9761072,115.8147838
-31.9761073,115.8147837
-31.9761075,115.8147836
-31.9761077,115.8147835
-31.9761079,115.8147833
-31.976108,115.8147832
-31.9761082,115.8147831
-31.9761084,115.814783
-31.9761085,115.8147828
-31.9761086,115.8147826
-31.9761086,115.8147826
-31.9761087,115.8147825
-31.9761088,115.8147824
-31.9761089,115.8147823
-31.976109,115.8147821
-31.9761091,115.8147819
-31.9761092,115.8147819
-31.9761092,115.8147818
-31.9761093,115.8147817
-31.9761095,115.8147816
-31.9761095,115.8147814
-31.9761096,115.8147813
-31.9761097,115.814781
-31.9761098,115.8147807
-31.9761099,115.8147805
-31.97611,115.8147803
-31.9761102,115.8147801
-31.9761104,115.8147798
-31.9761105,115.8147796
-31.9761105,115.8147794
-31.9761106,115.8147791
-31.9761107,115.8147788
-31.9761109,115.8147786
-31.9761111,115.8147782
-31.9761115,115.8147778
-31.9761117,115.8147774
-31.9761122,115.8147769
-31.9761125,115.8147764
-31.9761129,115.8147759
-31.9761131,115.8147756
-31.9761133,115.8147752
-31.9761137,115.8147748
-31.976114,115.8147745
-31.9761144,115.814774
-31.9761147,115.8147735
-31.976115,115.8147729
-31.9761154,115.8147723
-31.9761156,115.8147719
-31.9761158,115.8147714
-31.9761161,115.814771
-31.9761164,115.8147705
-31.9761168,115.81477
-31.9761172,115.8147696
-31.9761175,115.8147693
-31.9761178,115.814769
-31.976118,115.8147686
-31.9761183,115.8147684
-31.9761184,115.8147682
-31.9761185,115.814768
-31.9761186,115.8147677
-31.9761187,115.8147675
-31.9761189,115.8147672
-31.9761191,115.8147669
-31.9761193,115.8147666
-31.9761194,115.8147664
-31.9761195,115.8147664
-31.9761195,115.8147663
-31.9761197,115.8147662
-31.9761199,115.814766
-31.9761201,115.8147659
-31.9761202,115.8147656
-31.9761204,115.8147655
-31.9761206,115.8147652
-31.9761208,115.8147651
-31.9761209,115.8147651
-31.976121,115.814765
-31.9761211,115.8147649
-31.9761211,115.8147648
-31.9761212,115.8147647
-31.9761214,115.8147646
-31.9761213,115.8147646
-31.9761214,115.8147646
